id,title,company_name,city,city_geocode,department,skill
0722548,Data Engineer Snowflake F/H h/f,,Paris,"Paris, 75, France",75,aws
0723163,Consultant(e) Dataiku F/H h/f,,Paris,"Paris, 75, France",75,aws
0724699,Développeur full stack  (JAVASCRIPT/TYPESCRIPT/REACT/NODE.JS/SQL) (H/F),,Lyon,"Lyon, 69, France",69,aws
0724861,"Data Scientists, IA Engineer, Pilote IA (H/F)",,Saint-Denis,"Saint-Denis, 93, France",93,aws
0725613,"Data Scientists, IA Engineer, Pilote IA (H/F)",,Saint-Denis,"Saint-Denis, 93, France",93,aws
0752598,Data Engineer H/F,JEMS,,,No,aws
0788013,Ingénieur développeur Big Data (H/F),,Saint-Denis,"Saint-Denis, 93, France",93,aws
0831298,Data Engineer (Paris) (H/F),,Paris,"Paris, 75, France",75,aws
0831383,Data Engineer (H/F),,Lille,"Lille, 59, France",59,aws
0843916,Ingenieure - Ingenieur Logiciel Plm Nucléaire H/F,Capgemini,Bordeaux,"Bordeaux, 33, France",33,aws
0875473,Développeur Talend F/H - Informatique de gestion (H/F),Hays France,Nice,"Nice, 06, France",06,aws
0875520,Apprenti-e Data Steward Matériaux et Procédés F/H (H/F),Safran,Gonfreville-L'Orcher,"Gonfreville-L'Orcher, 76, France",76,aws
0920743,Data Engineer Snowflake H/F,JEMS,Marseille 1Er Arrondissement,"Marseille 1Er Arrondissement, 13, France",13,aws
0941355,Développeur (H/F),,Lyon,"Lyon, 69, France",69,aws
0967004,Senior Data Scientist - Downstream Demand Forecast - Value Chain (f/m/d) (H/F),,Paris,"Paris, 75, France",75,aws
0967005,Senior Data Scientist - Downstream Demand Forecast - Value Chain (f/m/d) (H/F),,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",59,aws
0985074,Data engineer et cheffe/Chef de projet Data (H/F),,Barberaz,"Barberaz, 73, France",73,aws
0993936,Data Analyst - Inventory Management - Value Chain (f/m/d) (H/F),,Villeneuve-D'Ascq,"Villeneuve-D'Ascq, 59, France",59,aws
0993948,Data Analyst - Inventory Management - Value Chain (f/m/d) (H/F),,Paris,"Paris, 75, France",75,aws
1002480,Lead Data driven Manufacturing F/H h/f,,Paris,"Paris, 75, France",75,aws
203VRRV,Architecte Systèmes et  Réseaux (H/F),,Seine-Saint-Denis,"Seine-Saint-Denis, 93, France",93,aws
203WVFC,Data engineer F/H (H/F),XPEHO,Lille,"Lille, 59, France",59,aws
204ZNWX,Développeur / Développeuse full-stack (H/F),ABRAXIO,Lyon 03,"Lyon 03, 69, France",69,aws
204ZQZP,Développeur Devops (H/F),AMILTONE,Villeurbanne,"Villeurbanne, 69, France",69,aws
205HJBF,Ingénieur Support Logiciel de Supervision SCADA (H/F) -3 postes-,ARC INFORMATIQUE,Boulogne Billancourt,"Boulogne Billancourt, 92, France",92,aws
205HJFP,Ingénieur Support Logiciel de Supervision SCADA (H/F) -3 postes-,ARC INFORMATIQUE,Boulogne Billancourt,"Boulogne Billancourt, 92, France",92,aws
205HZRP,Data Engineer (H/F),OLYMPIQUE DE MARSEILLE,Marseille,"Marseille, 13, France",13,aws
205KSJP,Développeur Back-End C#.NET (H/F),AK RECRUTEMENT,Villeurbanne,"Villeurbanne, 69, France",69,aws
205LZLG,Développeur Big Data (H/F),CMRD CONSEIL,Paris,"Paris, 75, France",75,aws
205NCKH,Développeur(se) informatique (H/F),RSOFT REUNION,St Louis,"St Louis, 974, France",974,aws
205QQGK,Data Scientist Senior F/H,SOCOTEC TECHNICAL CONSULTING,Palaiseau,"Palaiseau, 91, France",91,aws
205QYQC,Développeur Web Full Stack - Clinical IT (H/F),THERADIS PHARMA,Cagnes Sur Mer,"Cagnes Sur Mer, 06, France",06,aws
205RFJZ,Senior Data engineer (H/F),DEVOTEAM GROUP,Lille,"Lille, 59, France",59,aws
205SMDW,Data Engineer Senior (H/F),INFORMATIS TECHNOLOGY SYSTM,Paris,"Paris, 75, France",75,aws
205XPQT,Senior python (H/F),SEGMENT ELITE,Paris,"Paris, 75, France",75,aws
205ZCJP,Developpeur full stack (H/F),MATEN,Paris (Dept.),"Paris (Dept.), 75, France",75,aws
205ZCQJ,Developpeur Full-Stack (H/F),MATEN,Marseille 01,"Marseille 01, 13, France",13,aws
